Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,2.325501,2.376884,2.313543,2.341384,2.341384,84235263
2024-03-02,2.341424,2.350251,2.320469,2.342782,2.342782,40821669
2024-03-03,2.342831,2.391139,2.336882,2.390846,2.390846,50542550
2024-03-04,2.390886,2.467299,2.357296,2.464640,2.464640,94590476
2024-03-05,2.462248,2.497427,2.321952,2.375912,2.375912,137433154
2024-03-06,2.375913,2.428479,2.306605,2.400072,2.400072,203392582
2024-03-07,2.400362,2.503743,2.400018,2.496500,2.496500,97972842
2024-03-08,2.496590,2.530126,2.482636,2.510755,2.510755,90416571
2024-03-09,2.510417,2.511633,2.455721,2.477573,2.477573,37559251
2024-03-10,2.478117,2.514814,2.456442,2.469840,2.469840,34310653
2024-03-11,2.469757,2.473534,2.418278,2.422862,2.422862,50502116
2024-03-12,2.422868,2.448292,2.373361,2.418932,2.418932,71858774
2024-03-13,2.418698,2.456281,2.358205,2.382443,2.382443,153796109
2024-03-14,2.382295,2.439481,2.355723,2.407152,2.407152,86128403
2024-03-15,2.407153,2.436727,2.366498,2.405279,2.405279,125734325
2024-03-16,2.405293,2.424106,2.383674,2.399204,2.399204,84027707
2024-03-17,2.399738,2.434555,2.385544,2.423223,2.423223,56247800
2024-03-18,2.418190,2.433926,2.404693,2.423474,2.423474,59842276
2024-03-19,2.423384,2.431863,2.390696,2.415265,2.415265,56812526
2024-03-20,2.414740,2.527037,2.405656,2.517778,2.517778,56785854
2024-03-21,2.517737,2.539080,2.474087,2.535422,2.535422,56038036
2024-03-22,2.535540,2.564567,2.459633,2.479304,2.479304,49322483
2024-03-23,2.479408,2.493500,2.453221,2.471273,2.471273,92414600
2024-03-24,2.471376,2.554920,2.458962,2.541273,2.541273,58294425
2024-03-25,2.541261,2.545561,2.468605,2.527946,2.527946,50925235
2024-03-26,2.527924,2.544006,2.506679,2.540322,2.540322,38672563
2024-03-27,2.540215,2.544993,2.513577,2.523024,2.523024,32294539
2024-03-28,2.522969,2.550234,2.508481,2.541249,2.541249,29190373
2024-03-29,2.541319,2.557954,2.508738,2.518137,2.518137,37655387
2024-03-30,2.518210,2.550065,2.516616,2.540725,2.540725,24484164
2024-03-31,2.540725,2.545992,2.511383,2.530923,2.530923,27207318
2024-04-01,2.530528,2.540394,2.514629,2.526197,2.526197,43186079
2024-04-02,2.526232,2.529167,2.483154,2.504244,2.504244,114325308
2024-04-03,2.504239,2.532055,2.494646,2.507286,2.507286,61651738
2024-04-04,2.507266,2.519287,2.498997,2.512197,2.512197,54030983
2024-04-05,2.512125,2.515833,2.492118,2.508479,2.508479,52186440
2024-04-06,2.508648,2.526712,2.504223,2.523477,2.523477,30047843
